customer_id,Name,age,gender,phone_number,customer_location,purchase_date,product_category,purchase_amount,preferred_payment_method,loyality_score
98,Cherry Mizen,33,Male,330-495-9387,KUrnool,9.11.2021,books,27568,cash,89
99,Tiphanie Birchall,21,MAle,949-309-6527,Guntur,28.12.2023,books,88258,credit card,77
100,Charlton Meysham,30,Male,559-822-3172,Kurnool,20.10.2023,Clothing,61565,mobile payment,22
101,Levin Luke,53,Female,110-888-5850,Vizag,2.12.2022,Grocy,81019,cash,78
102,Deni Marston,46,MAle,776-791-2995,Vijayawada,26.10.2023,Grocy,27313,CAsh,67
103,Ruben Applegate,43,FEmale,377-549-2193,,23.4.2022,Books,77655,CAsh,55
104,Jenn Fattorini,16,MAle,340-781-9260,Chittor,11.5.2023,Electronics,29142,cash,6
105,Tabitha Pelos,16,MAle,249-528-4799,Kurnool,27.9.2023,Clothing,98069,mobile payment,11
106,Harry Osgodby,39,Female,189-925-5930,Kurnool,17.1.2022,books,98877,cash,47
107,Maxine Ponting,34,FEmale,711-366-4155,Vijayawada,14.5.2022,Books,43242,mobile payment,98
108,Alicea Draisey,35,Female,600-594-4974,Vijayawada,6.11.2022,books,11916,cash,15
109,Lizzie Mudd,39,,112-720-3082,Guntur,3.3.2022,,50777,CAsh,71
110,Arly Given,29,MAle,813-314-9016,VIJayawada,27.4.2022,electronics,53159,credit card,78
111,Theodoric Arias,16,Male,484-172-1810,Guntur,10.4.2023,Groceries,61117,cash,46
112,Mikey Powderham,39,MAle,588-267-4446,VIJayawada,2.10.2021,Clothing,,CAsh,59
113,Gracia Lorand,23,Male,905-574-9367,Vijayawada,15.6.2021,Home Appliances,82232,cash,23
114,Jessa Jersh,58,Male,386-709-8051,Vijayawada,11.10.2022,electronics,,cash,27
115,Emlyn Iacovino,56,,658-362-7717,KUrnool,5.2.2023,Groceries,50965,mobile payment,63
116,Marcelline Barday,26,FEmale,639-206-5555,Vijayawada,23.6.2022,Books,68079,CAsh,52
117,Clotilda Bebis,41,femal,734-710-2218,Vizag,9.12.2022,Groceries,,CAsh,57
118,Chrysa Carrick,54,femal,997-137-5058,Vizag,10.1.2023,Grocy,14887,credit card,25
119,Sabrina Lamdin,23,MAle,238-196-5935,Kurnool,2.2.2023,electronics,83057,credit card,63
120,Raphaela Van Der Hoog,36,Female,586-808-3210,Kurnool,7.2.2023,Toys,89103,credit card,46
121,Cherice McOmish,53,Female,113-529-1769,Vijayawada,14.9.2021,electronics,24285,credit card,83
122,Chiquia Hamor,54,,840-988-3789,KUrnool,28.1.2022,Home Appliances,86301,credit card,33
123,Ronald Danett,36,Female,330-925-8973,Chittor,7.6.2021,Grocy,37580,mobile payment,92
124,Lindsay Iremonger,44,Female,982-852-1462,Chittor,25.5.2022,Groceries,15437,CAsh,74
125,Eugenia Merrigan,36,MAle,619-682-3031,Vijayawada,18.10.2022,Groceries,78459,cash,24
126,Sarge Spellacey,27,,643-191-9107,Vizag,15.9.2022,Clothing,72997,credit card,99
127,Breanne Camplen,28,femal,339-165-5468,VIJayawada,8.1.2022,Groceries,10796,CAsh,69
128,Tabbie Bernardeau,59,Male,977-501-4786,Chittor,12.3.2022,electronics,41035,credit card,6
129,Tori Fann,59,MAle,218-203-8960,Kurnool,22.6.2022,Books,12223,mobile payment,67
130,Beale Stoneham,23,Female,326-164-1272,Vijayawada,11.11.2022,Toys,,mobile payment,54
131,Chadd Burlingham,21,Female,452-130-4747,,28.4.2022,books,25102,credit card,84
132,Ethyl Mac Giolla Pheadair,40,FEmale,357-375-5611,Vizag,4.11.2021,Electronics,27899,mobile payment,27
133,Griz Flippen,32,MAle,606-288-0308,Kurnool,29.3.2023,Electronics,90082,CAsh,21
134,Brita Gingell,60,Female,211-154-4957,Kurnool,31.10.2021,Clothing,49532,CAsh,24
135,Drona Dukes,57,Female,763-399-2886,VIJayawada,15.8.2022,Grocy,36272,mobile payment,37
136,Beltran Leyman,57,FEmale,745-703-4558,Vijayawada,26.1.2021,Toys,58628,credit card,94
137,Nicholas Romao,46,Male,952-365-6933,Guntur,13.4.2022,Groceries,50078,cash,64
138,Caren Rillstone,32,Male,790-220-5113,Vizag,4.9.2023,electronics,68103,cash,1
139,Bar Arsey,21,femal,369-110-7524,Vijayawada,1.2.2023,Electronics,62610,CAsh,39
140,Georgetta Flahy,50,femal,970-283-5703,Chittor,3.11.2021,electronics,18803,mobile payment,61
141,Colleen Whitmore,52,FEmale,880-411-5152,Vizag,6.7.2023,Home Appliances,97912,cash,97
142,Eveleen Mandifield,28,femal,564-223-5120,Kurnool,23.1.2022,Grocy,84785,credit card,77
143,Vassily Yearne,35,femal,537-937-4239,Vizag,15.8.2021,Books,,mobile payment,22
144,Celestine Aimable,40,Male,429-865-8755,Guntur,1.9.2023,Books,60198,CAsh,40
145,Christian Medgwick,54,,101-183-2043,Kurnool,2.9.2021,Clothing,,credit card,23
146,Elyse Greetland,23,Female,942-597-1595,KUrnool,1.10.2023,Electronics,94101,credit card,76
147,Lynne Middup,22,femal,491-543-5346,Chittor,22.4.2021,books,86557,cash,78
148,Hettie Adelman,51,FEmale,484-934-7680,Vizag,6.11.2023,Electronics,64786,mobile payment,63
149,Andrea Koch,54,MAle,234-936-4181,Guntur,31.8.2021,Books,30468,mobile payment,46
150,Micheline Nottle,58,femal,480-138-2613,Vizag,27.8.2023,electronics,77908,credit card,41
151,Nanice Niave,38,,794-923-8390,Chittor,5.9.2022,books,50559,mobile payment,5
152,Arv Avrasin,49,femal,954-514-6594,Vizag,19.3.2023,Electronics,11146,CAsh,28
153,Ranee L'Episcopi,28,MAle,862-583-8238,KUrnool,24.5.2023,Grocy,57681,CAsh,4
154,Sileas Murford,32,,601-256-9534,Chittor,14.3.2021,Books,80893,CAsh,12
155,Gaultiero Theaker,46,Female,845-261-0511,Chittor,27.1.2022,Electronics,76756,cash,79
156,Berta Boydell,29,Female,100-355-7679,KUrnool,9.1.2022,Toys,93145,cash,50
157,Arnold Deveril,27,,587-261-5736,Vizag,22.6.2022,Books,20852,CAsh,90
158,Hortense Lafoy,41,MAle,642-413-8176,VIJayawada,26.3.2021,Clothing,31675,cash,45
159,Faulkner Saul,42,MAle,569-972-7291,Vizag,19.7.2021,Home Appliances,51422,credit card,100
160,Claudell Lamerton,59,Male,897-656-5928,Vizag,30.9.2023,Grocy,31368,credit card,64
161,Sheba Etheredge,28,,190-759-5432,Vizag,20.8.2022,Toys,35363,cash,96
162,Jacinta Adnet,33,Male,208-291-2882,Kurnool,3.8.2021,,50110,mobile payment,99
163,Franky Lidington,58,MAle,154-593-7152,Vizag,8.6.2023,Toys,78494,cash,5
164,Felicdad Ramey,55,Female,929-302-9703,KUrnool,6.4.2023,Toys,56949,CAsh,12
165,Richmound Coleridge,26,MAle,277-376-1860,Vijayawada,1.5.2021,books,64784,credit card,35
166,Maitilde Baughn,45,Male,735-516-3951,,4.7.2021,books,,credit card,92
167,Chev Kennham,33,Female,784-104-3093,Vizag,17.10.2022,electronics,92009,CAsh,67
168,Tiffani Korfmann,22,Female,222-571-5462,Vijayawada,5.9.2022,Groceries,42446,cash,59
169,Nisse Haskell,23,FEmale,456-729-9753,Chittor,20.9.2021,Books,14500,mobile payment,75
170,Giovanni MacCafferky,42,,529-966-6448,KUrnool,6.1.2021,Groceries,19645,CAsh,70
171,Antone Lenahan,34,MAle,586-253-5296,Vizag,15.4.2023,Books,73021,cash,85
172,Ariel Elfleet,36,femal,328-620-7715,Guntur,26.4.2022,books,56773,credit card,96
173,Melva Battyll,24,FEmale,936-282-8429,KUrnool,9.2.2022,,73738,CAsh,44
174,Darsie Kondratyuk,29,Male,820-230-4204,KUrnool,21.4.2022,Home Appliances,90510,credit card,88
175,Ruthann Carreck,57,Male,877-199-9847,Chittor,3.11.2022,Home Appliances,15733,CAsh,71
176,Irving Wakelin,43,,423-751-5440,Kurnool,24.4.2022,Clothing,79044,CAsh,55
177,Freddy Dering,56,MAle,513-992-4217,Guntur,6.1.2022,Electronics,81544,cash,71
178,Jeffy Templeton,40,femal,715-221-9441,Vizag,6.6.2022,Home Appliances,85961,CAsh,100
179,Clyve de Lloyd,44,FEmale,736-253-4522,Vijayawada,26.4.2023,Books,,CAsh,11
180,Noach MacDearmaid,26,Female,282-289-6243,Kurnool,17.10.2021,Books,77405,cash,50
181,Vilma Sclanders,39,femal,594-317-7319,Kurnool,1.4.2023,Home Appliances,63870,cash,29
182,Daryl Clempton,35,MAle,416-131-4131,Chittor,23.7.2022,Clothing,39497,mobile payment,37
183,Brooke Enriquez,46,Male,305-636-0533,VIJayawada,15.8.2021,,64128,credit card,30
184,Iorgos Froude,40,FEmale,110-493-3980,Vizag,20.5.2021,Grocy,64253,credit card,28
185,Lulu Heiss,21,Male,436-281-5436,Vijayawada,25.8.2023,Toys,14453,CAsh,93
186,Rozamond Bambrick,33,FEmale,888-946-4410,Kurnool,10.7.2022,Groceries,85216,CAsh,38
187,Inger Chippendale,38,,194-827-4212,Vizag,7.10.2021,Home Appliances,51585,mobile payment,2
188,Aldwin Feaveryear,23,FEmale,546-145-4266,Guntur,3.1.2022,Clothing,85300,CAsh,69
189,Jyoti Cromley,16,Male,716-161-2477,Guntur,12.6.2023,,98935,CAsh,73
190,Ofilia Lias,37,femal,688-694-3793,Guntur,30.3.2023,Home Appliances,79576,mobile payment,43
191,Pris Cabrales,60,,814-106-9288,VIJayawada,6.2.2022,Clothing,76708,cash,81
192,Melessa Lisimore,33,FEmale,667-135-1028,Chittor,8.6.2021,Toys,25201,credit card,59
193,Neala Brind,53,Female,836-686-7090,Vijayawada,8.6.2022,Grocy,64172,mobile payment,28
194,Laural Swalteridge,57,,745-279-5312,Guntur,17.9.2023,Electronics,26376,CAsh,37
195,Derron Sherrett,22,Male,817-240-4657,Chittor,10.4.2022,Grocy,32523,credit card,89
196,Tristan Collopy,59,Female,117-488-6184,Chittor,2.9.2022,Toys,,CAsh,68
197,Caldwell Godier,43,MAle,941-539-0850,Vizag,15.7.2023,Books,71842,credit card,11
198,Ario Semour,15,MAle,748-826-8744,KUrnool,15.1.2022,electronics,,CAsh,79
199,Menard Berringer,42,Male,152-421-1760,Vizag,8.6.2022,books,67540,cash,59
200,Svend Keir,15,Male,172-144-1446,KUrnool,29.8.2022,Grocy,65411,CAsh,35
201,Audy Cockson,55,,249-770-3675,VIJayawada,23.3.2023,Toys,95300,credit card,9
202,Ewell Race,45,FEmale,285-968-6169,Vijayawada,28.3.2021,electronics,69420,mobile payment,47
203,Julius Bickerdike,36,Female,368-487-3140,VIJayawada,24.5.2023,electronics,32220,mobile payment,60
204,Morris McKellar,39,Male,306-340-5424,KUrnool,22.2.2023,Home Appliances,41278,cash,54
205,Marylinda Tutchener,45,Female,609-424-6882,VIJayawada,1.11.2022,Books,30240,mobile payment,48
206,Ethelda Petri,47,femal,674-766-4111,Vizag,14.7.2021,Electronics,26012,mobile payment,31
207,Warren Duckerin,58,Male,387-227-3752,Kurnool,25.11.2021,electronics,,cash,75
208,Drud MacMenamie,42,Female,291-465-7487,Vizag,22.4.2023,electronics,18425,credit card,46
209,Edy Bucklee,28,,601-846-5244,KUrnool,28.6.2022,books,15553,CAsh,72
210,Giorgi Macklam,51,Female,387-396-7689,KUrnool,9.1.2023,Clothing,76626,credit card,29
211,Annalise Mounsey,44,,953-127-7166,Guntur,16.5.2023,Electronics,25604,credit card,83
212,Lonna Skewes,60,MAle,341-650-7461,Guntur,25.4.2022,Toys,29670,credit card,79
213,Obediah St Quenin,25,femal,298-229-9146,Guntur,2.7.2021,books,,cash,96
214,Drake Bassom,16,femal,975-916-6691,KUrnool,9.6.2023,Toys,67331,cash,51
215,Kelila Eastmond,19,Female,621-459-4228,VIJayawada,2.7.2021,Books,65861,cash,72
216,Christi Elham,17,,316-600-4878,Chittor,26.10.2021,Home Appliances,75376,CAsh,61
217,Shelba Rountree,34,femal,380-826-8888,Kurnool,11.1.2023,books,95946,CAsh,79
218,Winnie Slayny,51,,564-727-2017,Kurnool,14.11.2022,Toys,26060,credit card,17
219,Cass Mattei,38,Female,178-934-9350,VIJayawada,5.6.2023,Clothing,,mobile payment,3
220,Rozelle Maestro,15,Female,434-318-9557,VIJayawada,2.2.2021,Electronics,87801,cash,64
221,Milli Steagall,34,FEmale,186-781-2161,VIJayawada,15.5.2022,Books,21077,cash,15
222,Alexei Corish,44,femal,346-618-0040,KUrnool,6.3.2021,Toys,,CAsh,66
223,Luce Subhan,50,femal,273-821-9545,Chittor,18.11.2021,books,17302,CAsh,9
224,Kimberlee Reinard,19,FEmale,209-667-9276,VIJayawada,15.9.2022,Groceries,40375,CAsh,11
225,Nicol Woodland,45,femal,608-912-2318,Vijayawada,10.3.2022,Toys,56486,CAsh,20
226,Aubry Vernon,50,Female,724-172-9676,Guntur,5.1.2022,Electronics,93411,mobile payment,13
227,Georgiana Jurzyk,24,MAle,636-209-6382,KUrnool,6.6.2022,Grocy,17374,CAsh,34
228,Rennie Vennard,30,MAle,751-819-6089,Chittor,4.3.2022,Groceries,73894,mobile payment,63
229,Tommy Metheringham,18,,494-137-0111,VIJayawada,15.9.2021,Grocy,20609,cash,81
230,Mareah Merricks,36,FEmale,384-978-5837,Vijayawada,23.7.2022,Electronics,24896,CAsh,35
231,Alano Caldecot,48,FEmale,281-498-0780,Vijayawada,28.4.2021,Electronics,99463,CAsh,52
232,Cissy Burwood,26,Female,322-486-8153,Vijayawada,2.4.2021,Electronics,69337,CAsh,4
233,Nichole L'Homme,20,,442-226-6692,Kurnool,27.11.2022,Toys,45074,credit card,35
234,Anabal Windrum,43,Male,602-309-8851,Guntur,17.8.2021,Grocy,32639,CAsh,22
235,Shermy Portal,43,,412-256-3906,Chittor,23.2.2023,electronics,77247,credit card,24
236,Base Cavnor,47,,689-675-3079,Vizag,21.4.2022,Toys,97226,cash,61
237,Carlo Formie,51,femal,797-882-7927,Vijayawada,13.1.2021,Home Appliances,96444,CAsh,33
238,Oran Bladge,57,Female,958-437-7696,Chittor,2.1.2022,Books,84974,credit card,73
239,Fee Hucknall,39,MAle,259-889-2387,Vizag,24.4.2021,Groceries,54977,CAsh,49
240,Gian Silby,47,MAle,260-902-6181,Guntur,19.7.2021,Toys,73499,cash,24
241,Aloysia Sarle,40,FEmale,289-960-5048,Kurnool,3.7.2023,books,53403,mobile payment,39
242,Pam Bolus,42,MAle,750-497-4462,Vizag,19.8.2022,Home Appliances,55727,credit card,52
243,Kendricks De Domenicis,30,femal,683-975-3356,Vijayawada,25.10.2022,Groceries,61129,credit card,21
244,Marlane Brazel,32,FEmale,282-260-1442,KUrnool,21.10.2023,books,15075,cash,90
245,Henrieta Cooper,31,Female,977-657-1048,VIJayawada,16.8.2022,books,33700,CAsh,25
246,Gardie Nanuccioi,21,Male,436-524-1549,KUrnool,22.6.2023,Groceries,47700,CAsh,78
247,Ginnifer Tooher,18,FEmale,590-587-0879,,13.12.2022,electronics,23163,mobile payment,17
248,Saree Casseldine,24,,571-135-6392,Vijayawada,25.8.2021,Toys,86375,CAsh,90
249,Isa Avo,45,femal,949-879-0091,Chittor,28.5.2022,books,68606,credit card,46
250,Trumaine Botfield,52,MAle,315-875-1337,Vizag,21.7.2023,electronics,48004,CAsh,83
251,Thornie Mallebone,40,femal,769-583-2588,Vijayawada,26.1.2021,Clothing,63666,CAsh,3
252,Kerrie Bumpass,39,Female,798-706-7151,KUrnool,28.8.2021,Electronics,18193,credit card,7
253,Sharline Pashba,55,Male,343-754-7385,Kurnool,4.6.2021,Grocy,56991,credit card,66
254,Bobina Romain,52,Male,619-794-2040,Vizag,22.12.2022,books,89028,credit card,64
255,Juliane Swetland,38,Male,165-364-5564,Guntur,29.11.2023,Grocy,98798,mobile payment,6
256,Susan Filkov,55,Male,780-934-5215,Guntur,14.4.2022,Home Appliances,81334,credit card,63
257,Witty Whitelock,58,Male,916-174-5493,Vizag,21.11.2022,Home Appliances,88010,cash,75
258,Orlando Gribben,38,Male,163-390-5613,Chittor,2.7.2021,Groceries,90025,credit card,85
259,Gusella Macbeth,20,FEmale,755-582-8432,KUrnool,8.1.2022,Electronics,68522,mobile payment,67
260,Danie Lincey,31,Female,864-738-5062,Vijayawada,22.12.2023,Toys,10740,credit card,53
261,Lavina Huncote,43,,866-536-4051,VIJayawada,1.7.2022,Grocy,60795,CAsh,27
262,Marys Kemery,39,Male,808-514-2539,Guntur,8.9.2021,books,,credit card,51
263,Delaney Foy,41,FEmale,854-839-5638,KUrnool,21.7.2021,Electronics,50050,mobile payment,47
264,Emilio Tregaskis,55,Female,107-762-0633,Vijayawada,17.2.2023,Home Appliances,39388,credit card,66
265,Ginger Aleksahkin,25,FEmale,742-464-0798,KUrnool,7.7.2022,Toys,23118,credit card,1
266,Isaak Bonham,16,FEmale,686-228-5053,VIJayawada,21.5.2022,Books,79916,cash,42
267,Daria Surmon,23,Female,989-955-9845,Chittor,4.8.2023,Electronics,53120,credit card,84
268,Hill Edmonston,30,femal,561-999-1123,Guntur,26.4.2021,Grocy,61950,cash,33
269,Bale Beeton,26,femal,823-456-1626,Chittor,13.4.2021,Clothing,90330,credit card,33
270,Jacenta Klass,52,Male,246-862-0164,Vizag,21.4.2023,electronics,95357,credit card,30
271,Shanna Tutton,32,,881-571-6586,KUrnool,10.2.2021,,87333,CAsh,84
272,Deck Tickle,56,femal,386-292-0752,Kurnool,15.12.2023,Groceries,16926,mobile payment,78
273,Nevin Busain,41,femal,399-793-6088,Vizag,24.1.2022,electronics,25858,CAsh,13
274,Garwood Milkins,51,FEmale,191-807-3505,VIJayawada,7.5.2021,Clothing,86663,mobile payment,2
275,Lorry Bowkley,54,Male,337-128-9152,Chittor,10.9.2021,Groceries,66871,CAsh,45
276,Devi Pollicatt,16,femal,580-977-4319,KUrnool,23.11.2021,books,34105,credit card,16
277,Aryn Considine,44,Male,857-306-7802,Chittor,2.8.2023,Groceries,55023,credit card,19
278,Mathilda Booeln,38,MAle,641-199-8211,Vijayawada,6.2.2022,Books,59523,cash,5
279,Theo Stansbie,18,Male,543-640-6440,,17.2.2021,Toys,,credit card,79
